title,artist,id,snippet_path,proof_snippet,tags
Here's That Rainy Day,,here-s-that-rainy-day,audio/lounge-standards/here-s-that-rainy-day-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Hero,Mariah Carey,hero,audio/weddings/hero-30.mp3,no,Weddings; Canapés; Romantic
Higher Ground,Stevie Wonder,higher-ground,audio/contemporary/higher-ground-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Hold Me in Your Arms,Southern Sons,hold-me-in-your-arms,audio/contemporary/hold-me-in-your-arms-30.mp3,no,Contemporary; Acoustic guitar; Voice
How Deep Is Your Love,Bee Gees,how-deep-is-your-love,audio/weddings/how-deep-is-your-love-30.mp3,no,Weddings; Canapés; Romantic
How Great Thou Art,,how-great-thou-art,audio/funerals/how-great-thou-art-30.mp3,no,Funerals; Memorial; Sacred
Human Nature,Michael Jackson,human-nature,audio/contemporary/human-nature-30.mp3,yes,Contemporary; Weddings; Acoustic guitar; Voice; Canapés
I Concentrate On You,,i-concentrate-on-you,audio/lounge-standards/i-concentrate-on-you-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
I Don’t Want to Miss a Thing,Aerosmith,i-dont-want-to-miss-a-thing,audio/weddings/i-dont-want-to-miss-a-thing-30.mp3,yes,Weddings; Feature ballad; Romantic
I Get A Kick Out Of You,,i-get-a-kick-out-of-you,audio/lounge-standards/i-get-a-kick-out-of-you-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
I Just Called to Say I Love You,Stevie Wonder,i-just-called-to-say-i-love-you,audio/contemporary/i-just-called-to-say-i-love-you-30.mp3,no,Contemporary; Acoustic guitar; Voice
I've Got the World on a String,,i-ve-got-the-world-on-a-string,audio/lounge-standards/i-ve-got-the-world-on-a-string-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
I've Got You Under My Skin,,i-ve-got-you-under-my-skin,audio/lounge-standards/i-ve-got-you-under-my-skin-30.mp3,yes,Lounge; Standards; Backing tracks; Vocal
If I Only Had a Brain,,if-i-only-had-a-brain,audio/lounge-standards/if-i-only-had-a-brain-30.mp3,no,Lounge; Standards; Backing tracks; Vocal; Guitar
Imagination,,imagination,audio/lounge-standards/imagination-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
In the Wee Small Hours of the Morning,,in-the-wee-small-hours-of-the-morning,audio/lounge-standards/in-the-wee-small-hours-of-the-morning-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Iris,Goo Goo Dolls,iris,audio/contemporary/iris-30.mp3,yes,Contemporary; Acoustic guitar; Voice
Isn't It a Pity,,isn-t-it-a-pity,audio/lounge-standards/isn-t-it-a-pity-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
It Had to Be You,,it-had-to-be-you,audio/lounge-standards/it-had-to-be-you-30.mp3,yes,Lounge; Standards; Backing tracks; Vocal
It Was A Very Good Year,,it-was-a-very-good-year,audio/lounge-standards/it-was-a-very-good-year-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
It's Only A Paper Moon,,it-s-only-a-paper-moon,audio/lounge-standards/it-s-only-a-paper-moon-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
It’s My Life,Bon Jovi,its-my-life,audio/contemporary/its-my-life-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
I’ll Be There,Jackson 5,ill-be-there,audio/weddings/ill-be-there-30.mp3,no,Weddings; Reception; Romantic
I’m Still Standing,Elton John,im-still-standing,audio/contemporary/im-still-standing-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Jeremy,Pearl Jam,jeremy,audio/contemporary/jeremy-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
"Jesu, Joy of Man's Desiring",,jesu-joy-of-man-s-desiring,audio/weddings/jesu-joy-of-man-s-desiring-30.mp3,yes,Weddings; Funerals; Memorial; Classical; Instrumental
Just the Way You Are,Billy Joel,just-the-way-you-are-billy-joel,audio/contemporary/just-the-way-you-are-billy-joel-30.mp3,no,Contemporary; Acoustic guitar; Voice
Just the Way You Are,Bruno Mars,just-the-way-you-are-bruno-mars,audio/contemporary/just-the-way-you-are-bruno-mars-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Kryptonite,3 Doors Down,kryptonite,audio/contemporary/kryptonite-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Lately,Stevie Wonder,lately,audio/weddings/lately-30.mp3,no,Weddings; Canapés; Romantic
Learn to Fly,Foo Fighters,learn-to-fly,audio/contemporary/learn-to-fly-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Learnin' The Blues,,learnin-the-blues,audio/lounge-standards/learnin-the-blues-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Let's Call The Whole Thing Off,,let-s-call-the-whole-thing-off,audio/lounge-standards/let-s-call-the-whole-thing-off-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Let's Stay Together,,let-s-stay-together,audio/weddings/let-s-stay-together-30.mp3,no,Weddings; Canapés
Little Wing,Jimi Hendrix,little-wing,audio/contemporary/little-wing-30.mp3,yes,Contemporary; Electric guitar; Backing tracks; Voice; Feature guitar
Livin’ on a Prayer,Bon Jovi,livin-on-a-prayer,audio/contemporary/livin-on-a-prayer-30.mp3,yes,Contemporary; Electric guitar; Backing tracks; Voice
Love Is Here To Stay,,love-is-here-to-stay,audio/lounge-standards/love-is-here-to-stay-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Love Me Tender,,love-me-tender,audio/lounge-standards/love-me-tender-30.mp3,no,Lounge; Standards; Backing tracks; Vocal; Guitar
Lush Life,,lush-life,audio/lounge-standards/lush-life-30.mp3,no,Lounge; Standards; Backing tracks; Vocal; Guitar
Maria Maria,Santana,maria-maria,audio/contemporary/maria-maria-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Marry You,Bruno Mars,marry-you,audio/contemporary/marry-you-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Minuet in G major,,minuet-in-g-major,audio/weddings/minuet-in-g-major-30.mp3,no,Weddings; Funerals; Memorial; Classical; Instrumental
Mirrors,Justin Timberlake,mirrors,audio/contemporary/mirrors-30.mp3,no,Contemporary; Acoustic guitar; Voice
Misty,,misty,audio/lounge-standards/misty-30.mp3,yes,Lounge; Standards; Backing tracks; Vocal
Moondance,,moondance,audio/lounge-standards/moondance-30.mp3,yes,Lounge; Standards; Backing tracks; Vocal
More Than Words,Extreme,more-than-words,audio/contemporary/more-than-words-30.mp3,no,Contemporary; Weddings; Electric guitar; Backing tracks; Voice; Reception
More Than You Know,,more-than-you-know,audio/lounge-standards/more-than-you-know-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Mr. Brightside,The Killers,mr-brightside,audio/contemporary/mr-brightside-30.mp3,no,Contemporary; Acoustic guitar; Voice
My Foolish Heart,,my-foolish-heart,audio/lounge-standards/my-foolish-heart-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
My Funny Valentine,,my-funny-valentine,audio/lounge-standards/my-funny-valentine-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
My Life,Billy Joel,my-life,audio/contemporary/my-life-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
My Stupid Mouth,John Mayer,my-stupid-mouth,audio/contemporary/my-stupid-mouth-30.mp3,no,Contemporary; Acoustic guitar; Voice
My Way,,my-way,audio/funerals/my-way-30.mp3,no,Funerals; Memorial
Nice and Easy,,nice-and-easy,audio/lounge-standards/nice-and-easy-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Nice Work If You Can Get It,,nice-work-if-you-can-get-it,audio/lounge-standards/nice-work-if-you-can-get-it-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Night and Day,,night-and-day,audio/lounge-standards/night-and-day-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Nimrod,,nimrod,audio/weddings/nimrod-30.mp3,no,Weddings; Funerals; Memorial; Classical; Instrumental
No One Else Comes Close,Joe,no-one-else-comes-close,audio/weddings/no-one-else-comes-close-30.mp3,no,Weddings; Reception; Romantic
Now and Forever,Richard Marx,now-and-forever,audio/contemporary/now-and-forever-30.mp3,no,Contemporary; Weddings; Electric guitar; Backing tracks; Voice; Feature ballad
On Eagle's Wings,,on-eagle-s-wings,audio/funerals/on-eagle-s-wings-30.mp3,yes,Funerals; Memorial; Sacred
One for My Baby,,one-for-my-baby,audio/lounge-standards/one-for-my-baby-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Open Arms,Journey,open-arms,audio/contemporary/open-arms-30.mp3,no,Contemporary; Weddings; Acoustic guitar; Voice; Reception
Ordinary People,John Legend,ordinary-people,audio/weddings/ordinary-people-30.mp3,no,Weddings; Canapés; Romantic
Over The Rainbow,,over-the-rainbow,audio/funerals/over-the-rainbow-30.mp3,yes,Funerals; Memorial
P.S. I Love You,,p-s-i-love-you,audio/lounge-standards/p-s-i-love-you-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Panis Angelicus,,panis-angelicus,audio/funerals/panis-angelicus-30.mp3,yes,Funerals; Memorial; Classical
Piano Man,Billy Joel,piano-man,audio/contemporary/piano-man-30.mp3,yes,Contemporary; Electric guitar; Backing tracks; Voice
Pie Jesu,,pie-jesu,audio/funerals/pie-jesu-30.mp3,no,Funerals; Memorial; Classical
Pompeii,Bastille,pompeii,audio/contemporary/pompeii-30.mp3,no,Contemporary; Acoustic guitar; Voice
Power of Love,Celine Dion,power-of-love,audio/weddings/power-of-love-30.mp3,yes,Weddings; Feature ballad; Romantic
Push,Matchbox Twenty,push,audio/contemporary/push-30.mp3,no,Contemporary; Acoustic guitar; Voice
Red House,Jimi Hendrix,red-house,audio/contemporary/red-house-30.mp3,no,Contemporary; Acoustic guitar; Voice
Redemption Song,Stevie Wonder version,redemption-song,audio/contemporary/redemption-song-30.mp3,no,Contemporary; Acoustic guitar; Voice
Right Here Waiting,Richard Marx,right-here-waiting,audio/contemporary/right-here-waiting-30.mp3,no,Contemporary; Weddings; Electric guitar; Backing tracks; Voice; Feature ballad
Riptide,Vance Joy,riptide,audio/contemporary/riptide-30.mp3,no,Contemporary; Acoustic guitar; Voice
Rocket Man,Elton John,rocket-man,audio/contemporary/rocket-man-30.mp3,no,Contemporary; Acoustic guitar; Voice
Save Tonight,Eagle-Eye Cherry,save-tonight,audio/contemporary/save-tonight-30.mp3,no,Contemporary; Backing tracks; Snippet pending
Scarborough Fair,,scarborough-fair,audio/weddings/scarborough-fair-30.mp3,no,Weddings; Funerals; Memorial; Classical; Instrumental
September Song,,september-song,audio/lounge-standards/september-song-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
She Will Be Loved,Maroon 5,she-will-be-loved,audio/weddings/she-will-be-loved-30.mp3,no,Weddings; Canapés; Romantic
She’s Always a Woman,Billy Joel,shes-always-a-woman,audio/contemporary/shes-always-a-woman-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Sin Luz,,sin-luz,audio/weddings/sin-luz-30.mp3,no,Weddings; Funerals; Memorial; Classical; Instrumental
Slow Dancing in a Burning Room,John Mayer,slow-dancing-in-a-burning-room,audio/contemporary/slow-dancing-in-a-burning-room-30.mp3,yes,Contemporary; Electric guitar; Backing tracks; Voice; Feature guitar
Smooth,Santana / Rob Thomas,smooth,audio/contemporary/smooth-30.mp3,yes,Contemporary; Electric guitar; Backing tracks; Voice; Feature guitar
Someone To Watch Over Me,,someone-to-watch-over-me,audio/lounge-standards/someone-to-watch-over-me-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Something's Gotta Give,,something-s-gotta-give,audio/lounge-standards/something-s-gotta-give-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Somewhere Over The Rainbow,,somewhere-over-the-rainbow,audio/lounge-standards/somewhere-over-the-rainbow-30.mp3,no,Lounge; Weddings; Standards; Backing tracks; Ceremony; Vocal; Guitar
Songbird,,songbird,audio/weddings/songbird-30.mp3,no,Weddings; Ceremony
Stairway To The Stars,,stairway-to-the-stars,audio/lounge-standards/stairway-to-the-stars-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Stand By Me,,stand-by-me,audio/weddings/stand-by-me-30.mp3,yes,Weddings; Ceremony; Romantic; Vocal
Stardust,,stardust,audio/lounge-standards/stardust-30.mp3,yes,Lounge; Standards; Backing tracks; Vocal
Stayin’ Alive,Bee Gees,stayin-alive,audio/contemporary/stayin-alive-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Still,Brian McKnight,still,audio/weddings/still-30.mp3,no,Weddings; Reception; Romantic
Stop This Train,John Mayer,stop-this-train,audio/contemporary/stop-this-train-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Sultans of Swing,Dire Straits,sultans-of-swing,audio/contemporary/sultans-of-swing-30.mp3,yes,Contemporary; Electric guitar; Backing tracks; Voice; Feature guitar
Summer of ’69,Bryan Adams,summer-of-69,audio/contemporary/summer-of-69-30.mp3,yes,Contemporary; Electric guitar; Backing tracks; Voice
Superstition,Stevie Wonder,superstition,audio/contemporary/superstition-30.mp3,yes,Contemporary; Electric guitar; Backing tracks; Voice
Sweet Child O’ Mine,Guns N’ Roses,sweet-child-o-mine,audio/contemporary/sweet-child-o-mine-30.mp3,no,Contemporary; Acoustic guitar; Feature guitar
Sweet Lorraine,,sweet-lorraine,audio/lounge-standards/sweet-lorraine-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
"Take Me Home, Country Roads",John Denver,take-me-home-country-roads,audio/contemporary/take-me-home-country-roads-30.mp3,no,Contemporary; Acoustic guitar; Voice
Tears In Heaven,,tears-in-heaven,audio/funerals/tears-in-heaven-30.mp3,no,Funerals; Memorial
That's All,,that-s-all,audio/lounge-standards/that-s-all-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
The Horses,Daryl Braithwaite,the-horses,audio/contemporary/the-horses-30.mp3,no,Contemporary; Acoustic guitar; Voice
The Man Who Sold the World,Nirvana,the-man-who-sold-the-world,audio/contemporary/the-man-who-sold-the-world-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
The Nearness Of You,,the-nearness-of-you,audio/lounge-standards/the-nearness-of-you-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
The Parting Glass,Traditional / Assassin's Creed IV: Black Flag,the-parting-glass-traditional-assassin-s-creed-iv-black-flag,audio/funerals/the-parting-glass-traditional-assassin-s-creed-iv-black-flag-30.mp3,yes,Funerals; Memorial; Traditional
The Second Time Around,,the-second-time-around,audio/lounge-standards/the-second-time-around-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
The Show Must Go On,Queen,the-show-must-go-on,audio/contemporary/the-show-must-go-on-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
The Tender Trap,,the-tender-trap,audio/lounge-standards/the-tender-trap-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
The Way You Look Tonight,,the-way-you-look-tonight,audio/lounge-standards/the-way-you-look-tonight-30.mp3,yes,Lounge; Standards; Backing tracks; Vocal
The Way You Make Me Feel,Michael Jackson,the-way-you-make-me-feel,audio/contemporary/the-way-you-make-me-feel-30.mp3,no,Contemporary; Acoustic guitar; Voice
The Wind Cries Mary,Jimi Hendrix,the-wind-cries-mary,audio/contemporary/the-wind-cries-mary-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
They All Laughed,,they-all-laughed,audio/lounge-standards/they-all-laughed-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
They Can't Take That Away From Me,,they-can-t-take-that-away-from-me,audio/lounge-standards/they-can-t-take-that-away-from-me-30.mp3,yes,Lounge; Standards; Backing tracks; Vocal
Thnks fr th Mmrs,Fall Out Boy,thnks-fr-th-mmrs,audio/contemporary/thnks-fr-th-mmrs-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Tip of My Tongue,Diesel,tip-of-my-tongue,audio/contemporary/tip-of-my-tongue-30.mp3,no,Contemporary; Acoustic guitar; Voice
To Be With You,Mr. Big,to-be-with-you,audio/contemporary/to-be-with-you-30.mp3,no,Contemporary; Weddings; Electric guitar; Backing tracks; Voice; Reception
Too Late Now,,too-late-now,audio/lounge-standards/too-late-now-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
"Top Hat, White Tie and Tails",,top-hat-white-tie-and-tails,audio/lounge-standards/top-hat-white-tie-and-tails-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Unforgettable,,unforgettable,audio/weddings/unforgettable-30.mp3,no,Weddings; Canapés
Wedding March,,wedding-march,audio/weddings/wedding-march-30.mp3,no,Weddings; Classical; Instrumental
What A Wonderful World,,what-a-wonderful-world,audio/lounge-standards/what-a-wonderful-world-30.mp3,yes,Lounge; Weddings; Funerals; Standards; Memorial; Backing tracks; Ceremony; Vocal
When I Fall In Love,,when-i-fall-in-love,audio/lounge-standards/when-i-fall-in-love-30.mp3,yes,Lounge; Weddings; Standards; Backing tracks; Canapés; Vocal
